,X,Y,Z
1,-12.3138107,-3.88919098,3.13478891
2,-12.4564342,-3.61647361,-0.30160461
3,-12.59784394,-0.08119807,3.50519494
4,-12.75542128,0.25821562,0.03067375
5,-12.65933217,2.97938178,3.78067047
6,-12.82663053,3.36620061,0.29977213
7,-12.46014083,6.81579326,4.08725401
8,-12.64231272,7.24657629,0.64508024
9,-11.91798542,-3.975822,5.68829329
10,-12.15767306,-0.25229455,6.09594393
11,-12.1861771,2.73889266,6.37884099
12,-11.9558345,6.48978269,6.66449679
13,-12.01765912,9.86687577,4.30628314
14,-12.22731043,10.32509039,0.93630038
15,-11.5023941,9.47479635,6.82604206
16,-11.0428541,13.60398599,4.52088293
17,-11.30249275,14.09495683,1.30057316
18,-10.52260243,-3.64238681,8.79491926
19,-10.61504703,-0.18501202,9.19500797
20,-10.5512069,2.58975917,9.4322275
21,-10.26464132,6.05443927,9.61933402
22,-10.5416298,13.13811542,6.91786964
23,-9.83695324,8.8061989,9.67746362
24,-9.89825733,16.472438,4.59098816
25,-10.18928787,16.99774661,1.54729791
26,-9.0206037,12.18931962,9.6120375
27,-9.43873422,15.95712119,6.8419986
28,-8.05796065,-2.92387502,10.92412637
29,-8.09141058,-0.17931793,11.18804881
30,-8.0080185,3.27568078,11.3877395
31,-7.81693706,6.04470275,11.43155975
32,-8.12070025,14.81524899,9.39680867
33,-7.8781033,19.73067508,4.41879342
34,-8.18692544,20.33113799,1.68137186
35,-7.39744189,9.48930374,11.30738948
36,-7.51433891,12.0540418,10.7460303
37,-7.51716903,19.15509597,6.42190366
38,-6.62996232,17.89259466,8.76891266
39,-5.79210006,-2.44069427,11.89522983
40,-5.80185133,0.27652767,12.14859284
41,-5.73053406,3.70292836,12.32855163
42,-5.58724654,6.45450866,12.33521698
43,-5.45039672,15.63986429,10.6378753
44,-5.44379909,21.56749855,4.96198159
45,-5.71666802,22.46291709,1.98035753
46,-5.27502165,9.87985593,12.12044049
47,-5.46033832,13.14609115,11.42992
48,-3.90579547,20.56505701,7.95384692
49,-3.43586527,18.87948119,9.64813978
50,-2.51420173,-2.09040036,12.48832737
51,-2.51204614,0.61163457,12.74574438
52,-2.47429503,4.01335448,12.92965434
53,-2.40985724,6.74434331,12.92683849
54,-2.27216341,10.14559544,12.67003503
55,-2.75135751,13.46369031,12.0169082
56,-3.06646703,16.01312857,11.20177174
57,-3.09215977,22.40141718,5.22622781
58,-3.26926272,23.4068418,2.11132707
59,0.00000283,-2.02837355,12.58565632
60,-0.00000218,1.35694216,12.89560005
61,-0.00000391,4.07369099,13.02994402
62,-0.00000363,7.47258265,13.00040948
63,-0.00000779,10.18207839,12.76959744
64,-0.00000124,13.53038673,12.187526
65,-0.00000767,16.14246286,11.43444072
66,-0.00000414,19.17858564,9.925428
67,-0.00000628,21.53534934,7.56395625
68,-0.00000398,22.7019594,5.34125605
69,-0.00000411,23.75534127,2.16075486
70,2.51420173,-2.09040036,12.48832737
71,2.51204614,0.61163457,12.74574438
72,2.47429503,4.01335448,12.92965434
73,2.40985724,6.74434331,12.92683849
74,2.27216341,10.14559544,12.67003503
75,2.75135751,13.46369031,12.0169082
76,3.06646703,16.01312857,11.20177174
77,3.09215977,22.40141718,5.22622781
78,3.43586527,18.87948119,9.64813978
79,3.26926272,23.4068418,2.11132707
80,3.90579547,20.56505701,7.95384692
81,5.73053406,3.70292836,12.32855163
82,5.58724654,6.45450866,12.33521698
83,5.27502165,9.87985593,12.12044049
84,5.46033832,13.14609115,11.42992
85,5.79210006,-2.44069427,11.89522983
86,5.80185133,0.27652767,12.14859284
87,5.45039672,15.63986429,10.6378753
88,5.44379909,21.56749855,4.96198159
89,5.71666802,22.46291709,1.98035753
90,6.62996232,17.89259466,8.76891266
91,7.39744189,9.48930374,11.30738948
92,7.51433891,12.0540418,10.7460303
93,7.51716903,19.15509597,6.42190366
94,8.05796065,-2.92387502,10.92412637
95,8.09141058,-0.17931793,11.18804881
96,8.0080185,3.27568078,11.3877395
97,7.81693706,6.04470275,11.43155975
98,8.12070025,14.81524899,9.39680867
99,7.8781033,19.73067508,4.41879342
100,8.18692544,20.33113799,1.68137186
101,9.0206037,12.18931962,9.6120375
102,9.43873422,15.95712119,6.8419986
103,10.26464132,6.05443927,9.61933402
104,9.83695324,8.8061989,9.67746362
105,9.89825733,16.472438,4.59098816
106,10.52260243,-3.64238681,8.79491926
107,10.5512069,2.58975917,9.4322275
108,10.5416298,13.13811542,6.91786964
109,10.18928787,16.99774661,1.54729791
110,10.61504703,-0.18501202,9.19500797
111,11.5023941,9.47479635,6.82604206
112,11.0428541,13.60398599,4.52088293
113,11.30249275,14.09495683,1.30057316
114,11.91798542,-3.975822,5.68829329
115,12.3138107,-3.88919098,3.13478891
116,12.15767306,-0.25229455,6.09594393
117,12.1861771,2.73889266,6.37884099
118,11.9558345,6.48978269,6.66449679
119,12.4564342,-3.61647361,-0.30160461
120,12.46014083,6.81579326,4.08725401
121,12.01765912,9.86687577,4.30628314
122,12.59784394,-0.08119807,3.50519494
123,12.64231272,7.24657629,0.64508024
124,12.22731043,10.32509039,0.93630038
125,12.75542128,0.25821562,0.03067375
126,12.65933217,2.97938178,3.78067047
127,12.82663053,3.36620061,0.29977213
