q_pip,q_dip,q_linkage_base,q_linkage_distal
3.071779483510019837e-01,-6.755485113545902642e-01,-5.839145776360963325e-01,3.988118820694959155e-01
3.089232776029963157e-01,-6.785919055697324787e-01,-5.866884209764959834e-01,4.008267621962326999e-01
3.106686068549906476e-01,-6.816291435275618760e-01,-5.894572723770874489e-01,4.028404780054648526e-01
3.124139361069849796e-01,-6.846602478449810292e-01,-5.922211432864541436e-01,4.048530406655119762e-01
3.141592653589793116e-01,-6.876852409457567816e-01,-5.949800451008648849e-01,4.068644612038716524e-01
3.159045946109736436e-01,-6.907041450639108682e-01,-5.977339891653059567e-01,4.088747505095779999e-01
3.176499238629679200e-01,-6.937169822469968494e-01,-6.004829867744772010e-01,4.108839193354869579e-01
3.193952531149622520e-01,-6.967237743593184263e-01,-6.032270491737610207e-01,4.128919783005198241e-01
3.211405823669565840e-01,-6.997245430850944636e-01,-6.059661875601785042e-01,4.148989378918721549e-01
3.228859116189509160e-01,-7.027193099315196534e-01,-6.087004130833073567e-01,4.169048084671631571e-01
3.246312408709452479e-01,-7.057080962317936468e-01,-6.114297368461847348e-01,4.189096002565544374e-01
3.263765701229395799e-01,-7.086909231480555960e-01,-6.141541699061807691e-01,4.209133233648136851e-01
3.281218993749339119e-01,-7.116678116742765070e-01,-6.168737232758592093e-01,4.229159877733512651e-01
3.298672286269282439e-01,-7.146387826390800946e-01,-6.195884079238038744e-01,4.249176033422044085e-01
3.316125578789225758e-01,-7.176038567084899178e-01,-6.222982347754304477e-01,4.269181798119823235e-01
3.333578871309169078e-01,-7.205630543886529793e-01,-6.250032147137818406e-01,4.289177268057882131e-01
3.351032163829112398e-01,-7.235163960284598517e-01,-6.277033585802911375e-01,4.309162538310800095e-01
3.368485456349055718e-01,-7.264639018221470401e-01,-6.303986771755365481e-01,4.329137702815160083e-01
3.385938748868999038e-01,-7.294055918118171888e-01,-6.330891812599697133e-01,4.349102854387476569e-01
3.403392041388942357e-01,-7.323414858899264246e-01,-6.357748815546306886e-01,4.369058084741901382e-01
3.420845333908885677e-01,-7.352716038017015343e-01,-6.384557887418371713e-01,4.389003484507529862e-01
3.438298626428828997e-01,-7.381959651475176187e-01,-6.411319134658661767e-01,4.408939143245342862e-01
